actual,predicted,count
balance_not_updated_after_cheque_or_cash_deposit,balance_not_updated_after_bank_transfer,1
declined_transfer,beneficiary_not_allowed,1
direct_debit_payment_not_recognised,why_verify_identity,1
exchange_charge,exchange_via_app,1
exchange_rate,transfer_not_received_by_recipient,1
extra_charge_on_statement,card_payment_fee_charged,1
contactless_not_working,reverted_card_payment?,1
change_pin,get_physical_card,1
cash_withdrawal_not_recognised,wrong_amount_of_cash_received,1
contactless_not_working,declined_card_payment,1
declined_transfer,transaction_charged_twice,1
declined_card_payment,reverted_card_payment?,1
declined_cash_withdrawal,top_up_reverted,1
card_swallowed,card_linking,1
card_payment_wrong_exchange_rate,transaction_charged_twice,1
card_payment_wrong_exchange_rate,wrong_exchange_rate_for_cash_withdrawal,1
card_payment_wrong_exchange_rate,exchange_rate,1
compromised_card,age_limit,1
cash_withdrawal_not_recognised,direct_debit_payment_not_recognised,1
cash_withdrawal_charge,wrong_amount_of_cash_received,1
cash_withdrawal_charge,card_payment_fee_charged,1
card_not_working,pin_blocked,1
card_not_working,declined_card_payment,1
card_delivery_estimate,card_about_to_expire,1
card_payment_fee_charged,direct_debit_payment_not_recognised,1
card_arrival,lost_or_stolen_card,1
pending_cash_withdrawal,cash_withdrawal_charge,1
pending_card_payment,transaction_charged_twice,1
pending_card_payment,supported_cards_and_currencies,1
pending_card_payment,reverted_card_payment?,1
order_physical_card,getting_virtual_card,1
order_physical_card,card_payment_fee_charged,1
lost_or_stolen_phone,lost_or_stolen_card,1
lost_or_stolen_card,verify_my_identity,1
getting_virtual_card,order_physical_card,1
getting_spare_card,request_refund,1
get_disposable_virtual_card,getting_spare_card,1
get_disposable_virtual_card,disposable_card_limits,1
fiat_currency_support,pending_cash_withdrawal,1
fiat_currency_support,supported_cards_and_currencies,1
failed_transfer,beneficiary_not_allowed,1
failed_transfer,card_acceptance,1
direct_debit_payment_not_recognised,extra_charge_on_statement,1
direct_debit_payment_not_recognised,reverted_card_payment?,1
extra_charge_on_statement,reverted_card_payment?,1
extra_charge_on_statement,request_refund,1
request_refund,cancel_transfer,1
request_refund,card_payment_wrong_exchange_rate,1
reverted_card_payment?,direct_debit_payment_not_recognised,1
reverted_card_payment?,declined_card_payment,1
pending_transfer,transfer_fee_charged,1
pending_transfer,pending_card_payment,1
pending_top_up,verify_source_of_funds,1
pending_top_up,top_up_reverted,1
pending_cash_withdrawal,cash_withdrawal_not_recognised,1
pin_blocked,get_physical_card,1
receiving_money,top_up_by_cash_or_cheque,1
pending_cash_withdrawal,declined_cash_withdrawal,1
top_up_reverted,card_payment_not_recognised,1
top_up_failed,top_up_reverted,1
top_up_failed,pending_top_up,1
top_up_failed,declined_card_payment,1
top_up_by_cash_or_cheque,topping_up_by_card,1
top_up_by_cash_or_cheque,balance_not_updated_after_cheque_or_cash_deposit,1
top_up_by_card_charge,card_payment_fee_charged,1
top_up_by_bank_transfer_charge,transfer_fee_charged,1
supported_cards_and_currencies,fiat_currency_support,1
top_up_by_bank_transfer_charge,top_up_by_card_charge,1
top_up_by_bank_transfer_charge,beneficiary_not_allowed,1
supported_cards_and_currencies,getting_spare_card,1
transfer_fee_charged,top_up_by_bank_transfer_charge,1
top_up_reverted,wrong_amount_of_cash_received,1
topping_up_by_card,top_up_failed,1
top_up_reverted,pending_top_up,1
transfer_not_received_by_recipient,transfer_fee_charged,1
transfer_not_received_by_recipient,beneficiary_not_allowed,1
transfer_into_account,topping_up_by_card,1
transfer_not_received_by_recipient,balance_not_updated_after_bank_transfer,1
transfer_into_account,supported_cards_and_currencies,1
transfer_into_account,receiving_money,1
topping_up_by_card,transfer_into_account,1
transfer_timing,balance_not_updated_after_bank_transfer,1
visa_or_mastercard,getting_spare_card,1
virtual_card_not_working,declined_card_payment,1
verify_my_identity,unable_to_verify_identity,1
verify_my_identity,why_verify_identity,1
wrong_amount_of_cash_received,cash_withdrawal_not_recognised,1
why_verify_identity,unable_to_verify_identity,1
wrong_exchange_rate_for_cash_withdrawal,cash_withdrawal_charge,1
wrong_exchange_rate_for_cash_withdrawal,exchange_charge,1
